P	gene
0.2159	ENSG00000163220
0.9163	ENSG00000163221
0.2905	ENSG00000143546
0.3048	ENSG00000197956
0.6349	ENSG00000196154
0.7077	ENSG00000188643
0.013	ENSG00000189334
0.0132	ENSG00000189171
0.0014	ENSG00000160678
0.8919	ENSG00000160679
0.1154	ENSG00000143624
0.0528	ENSG00000143554
0.0211	ENSG00000143614
0.4199	ENSG00000198837
0.0618	ENSG00000160741
0.6146	ENSG00000143570
0.4144	ENSG00000143578
0.0919	ENSG00000143543
0.0924	ENSG00000272654
0.1357	ENSG00000143545
0.1804	ENSG00000177954
0.7561	ENSG00000143549
0.6821	ENSG00000143612
0.0072	ENSG00000143569
0.9402	ENSG00000143575
0.1188	ENSG00000143515
0.7022	ENSG00000160712
0.7296	ENSG00000169291
0.228	ENSG00000163239
0.7285	ENSG00000160714
0.2178	ENSG00000160710
0.1497	ENSG00000163344
0.5182	ENSG00000163346
0.0621	ENSG00000163348
0.5828	ENSG00000160691
0.7624	ENSG00000173207
0.4623	ENSG00000160688
0.8161	ENSG00000160685
0.1492	ENSG00000143537
0.868	ENSG00000243364
0.9598	ENSG00000169242
0.9779	ENSG00000169241
0.0002	ENSG00000179085
0.9338	ENSG00000163463
0.0441	ENSG00000185499
0.1615	ENSG00000231064
0.0669	ENSG00000169231
0.0485	ENSG00000160766
0.7636	ENSG00000177628
0.2235	ENSG00000160767
0.8919	ENSG00000116521
0.2506	ENSG00000176444
0.3591	ENSG00000143630
0.0127	ENSG00000160752
0.3887	ENSG00000225855
0.1601	ENSG00000160753
0.0074	ENSG00000116539
0.3358	ENSG00000163374
0.0235	ENSG00000132676
0.0001	ENSG00000116580
0.0005	ENSG00000132718
0.0069	ENSG00000143622
0.3334	ENSG00000132680
0.7835	ENSG00000116584
0.0358	ENSG00000163479
0.2389	ENSG00000160789
0.7827	ENSG00000196189
0.0069	ENSG00000160785
0.0891	ENSG00000163468
0.0535	ENSG00000125462
0.9701	ENSG00000116604
0.0492	ENSG00000183856
0.1377	ENSG00000163382
0.8482	ENSG00000160818
0.7871	ENSG00000132702
0.3698	ENSG00000132692
0.0682	ENSG00000132688
0.4853	ENSG00000143319
0.2398	ENSG00000143303
0.0193	ENSG00000143314
0.0879	ENSG00000143321
0.826	ENSG00000143294
0.4327	ENSG00000027869
0.7492	ENSG00000198400
0.886	ENSG00000027644
0.0138	ENSG00000187800
0.3376	ENSG00000132694
0.4169	ENSG00000117036
0.0739	ENSG00000143297
0.3404	ENSG00000132704
0.3763	ENSG00000163534
0.9664	ENSG00000183853
0.9234	ENSG00000158473
0.2256	ENSG00000163563
0.7765	ENSG00000163565
0.1437	ENSG00000163568
0.4574	ENSG00000162706
0.4808	ENSG00000225670
0.2245	ENSG00000213088
0.491	ENSG00000158716
0.0754	ENSG00000158714
0.5407	ENSG00000188004
0.7341	ENSG00000158710
0.7045	ENSG00000260766
0.6076	ENSG00000143315
0.0161	ENSG00000162729
0.236	ENSG00000018625
0.0001	ENSG00000132681
0.1135	ENSG00000143318
0.1681	ENSG00000162734
0.8317	ENSG00000132716
0.2532	ENSG00000162735
0.9509	ENSG00000122218
0.4253	ENSG00000162736
0.095	ENSG00000171786
0.8966	ENSG00000162738
0.0342	ENSG00000162739
0.8041	ENSG00000066294
0.3039	ENSG00000117090
0.0078	ENSG00000117091
0.0814	ENSG00000026751
0.1627	ENSG00000122224
0.0113	ENSG00000122223
0.0075	ENSG00000179914
0.9614	ENSG00000158769
0.1918	ENSG00000215845
0.3704	ENSG00000158773
0.0265	ENSG00000186517
0.1746	ENSG00000162755
0.0558	ENSG00000143256
0.0399	ENSG00000158793
0.4939	ENSG00000158796
0.1013	ENSG00000143222
0.5636	ENSG00000143258
0.8829	ENSG00000143224
0.6208	ENSG00000158850
0.4246	ENSG00000158859
0.0451	ENSG00000158864
0.5134	ENSG00000158869
0.6481	ENSG00000158874
0.1715	ENSG00000158882
0.0393	ENSG00000158887
0.0344	ENSG00000143252
0.9699	ENSG00000143226
0.4932	ENSG00000072694
0.4697	ENSG00000132185
0.1525	ENSG00000081721
