gene	Chimp.Mean.Expression	Chimp.Overdispersion	Chimp.theta.se	Chimp.Mean.Log2RPKM	Human.Mean.Expression	Human.Overdispersion	Human.theta.se	Human.Mean.Log2RPKM	Chimp.Residual	Human.Residual	Chimp.Dispersion	Human.Dispersion
ENSG00000152749	-20.5371684070746	0.0986435052096805	2.33172952820267	0.222353143690092	-20.2770685685686	0.0981007514606187	2.35517463030848	0.535826664566837	-1.03146883821111	-0.636406031646458	-2.99057646399936	-2.70850454986917
ENSG00000125257	-20.863892252797	0.206322229893775	1.08791304103386	-0.330521413808056	-20.7712286456398	0.137587781685171	1.69061141208178	-0.208995847023567	-0.490401133363304	-0.573760823403371	-2.44950875915155	-2.64585934162608
ENSG00000134873	-20.5900182159208	0.777484193343891	0.270302250342894	-0.417654020419711	-22.5692868002035	0.551626855993979	0.509068820479729	-3.14206155893468	1.00086069181335	0.0247593279576076	-0.958246933974899	-2.0473391902651
ENSG00000134874	-19.6625262010434	0.121025570801908	1.85996823267383	1.467245880932	-20.2704492100888	0.163528400608476	1.3856113599827	0.49589829097353	-0.339093086744087	-0.121925302846535	-2.29820071253234	-2.19402382106925
ENSG00000247400	-19.8170284195454	0.0900526671133869	2.61786995220572	1.2657424298581	-20.5623185264205	0.165267891341371	1.43374718521122	0.0741942186566115	-0.716283012973343	-0.272652840452362	-2.67539063876159	-2.34475135867507
ENSG00000102580	-18.1819858900711	0.0629270325006985	3.59304808391828	3.64575040030377	-18.3065285749919	0.0956357769916814	2.35046162740511	3.38006595435905	-0.521440315473728	-0.0363115800587335	-2.48054794126198	-2.10841009828144
ENSG00000102595	-20.0681575429122	0.0563093858821877	4.18244110982787	0.925422000083073	-19.9551305904576	0.0727379387219993	3.1764694498976	1.01854401482979	-1.32158001325431	-0.775799240224898	-3.28068763904256	-2.84789775844761
ENSG00000185352	-20.9926053300353	0.911034117374048	0.223740197442019	-1.11731966768587	-21.0773414763597	0.86369806251299	0.237032694758785	-1.25513747030961	0.920781520418527	1.10123637196763	-1.03832610536972	-0.970862146255082
ENSG00000139793	-17.4628659608153	0.13252722787716	1.67590139486779	4.63118820386623	-17.5586345609591	0.28055541842861	0.773544252371727	4.31754409318149	0.270558730397634	1.06764468145925	-1.68854889539062	-1.00445383676346
ENSG00000125249	-18.9979189687244	0.130833291329175	1.70927982101773	2.4179839261925	-18.8671415669354	0.1028090680158	2.19499827891587	2.56577255840274	0.0152426000354695	-0.048595784735658	-1.94386502575278	-2.12069430295837
ENSG00000065150	-18.4341014329852	0.0763716718722966	2.94639564366639	3.27136887296513	-17.7327483498491	0.0764379001273923	2.93810479861546	4.22202805647832	-0.366129728516806	-0.230869198813393	-2.32523735430506	-2.3029677170361
ENSG00000152767	-20.8982848870165	0.113810322038021	1.98080124881143	-0.310542855170966	-20.5755185555787	0.172557518830279	1.28922202601753	0.0476357517056469	-1.10527644085519	-0.236982719467124	-3.06438406664344	-2.30908123768984
ENSG00000102572	-19.0215417347003	0.0484951698668378	4.87277897106356	2.44229608923455	-18.8456578524351	0.0364173676508164	6.49693444489706	2.64364308506373	-0.985343384817995	-1.08198444575767	-2.94445101060625	-3.15408296398038
ENSG00000088387	-18.6707155347397	0.227450678258349	0.962276367774637	2.81620970797282	-18.408501379927	0.150955757145654	1.46852443650806	3.19141643301319	0.66846992258665	0.409663521084488	-1.2906377032016	-1.66243499713822
ENSG00000134882	-17.9381831083379	0.0245804307362798	9.42745057397881	4.02496069443552	-18.1239056986233	0.0734237087386462	3.07971738025246	3.66002454683903	-1.42695188537228	-0.281502121996518	-3.38605951116053	-2.35360064021923
