Gene stable ID	Transcript stable ID	Gene name	Source of gene name
ENSPTRG00000051267	ENSPTRT00000101888		
ENSPTRG00000043380	ENSPTRT00000091651		
ENSPTRG00000019455	ENSPTRT00000036012	ZKSCAN5	VGNC Symbol
ENSPTRG00000047519	ENSPTRT00000091557	LEP	VGNC Symbol
ENSPTRG00000000869	ENSPTRT00000001648	SLC44A5	VGNC Symbol
ENSPTRG00000000869	ENSPTRT00000082109	SLC44A5	VGNC Symbol
ENSPTRG00000000869	ENSPTRT00000105065	SLC44A5	VGNC Symbol
ENSPTRG00000002163	ENSPTRT00000003958	FH	VGNC Symbol
ENSPTRG00000004319	ENSPTRT00000081608	SIDT2	VGNC Symbol
ENSPTRG00000004319	ENSPTRT00000107266	SIDT2	VGNC Symbol
ENSPTRG00000004319	ENSPTRT00000008028	SIDT2	VGNC Symbol
ENSPTRG00000004319	ENSPTRT00000103519	SIDT2	VGNC Symbol
ENSPTRG00000012387	ENSPTRT00000023003	SLC35F5	VGNC Symbol
ENSPTRG00000012387	ENSPTRT00000080246	SLC35F5	VGNC Symbol
ENSPTRG00000013503	ENSPTRT00000025119	EMILIN3	VGNC Symbol
ENSPTRG00000013206	ENSPTRT00000077133	CDC25B	VGNC Symbol
ENSPTRG00000013206	ENSPTRT00000094690	CDC25B	VGNC Symbol
ENSPTRG00000013206	ENSPTRT00000043034	CDC25B	VGNC Symbol
ENSPTRG00000013206	ENSPTRT00000107157	CDC25B	VGNC Symbol
ENSPTRG00000013206	ENSPTRT00000099903	CDC25B	VGNC Symbol
ENSPTRG00000013206	ENSPTRT00000095394	CDC25B	VGNC Symbol
ENSPTRG00000012996	ENSPTRT00000024097	C2BH2orf83	VGNC Symbol
ENSPTRG00000012996	ENSPTRT00000075810	C2BH2orf83	VGNC Symbol
ENSPTRG00000051610	ENSPTRT00000083563		
ENSPTRG00000010842	ENSPTRT00000020076		
ENSPTRG00000048041	ENSPTRT00000109053		
ENSPTRG00000034496	ENSPTRT00000063918	NUDT19	VGNC Symbol
ENSPTRG00000004477	ENSPTRT00000109542	PRDM10	VGNC Symbol
ENSPTRG00000004477	ENSPTRT00000096416	PRDM10	VGNC Symbol
ENSPTRG00000004477	ENSPTRT00000078983	PRDM10	VGNC Symbol
ENSPTRG00000004477	ENSPTRT00000096681	PRDM10	VGNC Symbol
ENSPTRG00000004477	ENSPTRT00000078118	PRDM10	VGNC Symbol
ENSPTRG00000004477	ENSPTRT00000008294	PRDM10	VGNC Symbol
ENSPTRG00000043950	ENSPTRT00000091225	TSLP	VGNC Symbol
ENSPTRG00000043950	ENSPTRT00000099966	TSLP	VGNC Symbol
ENSPTRG00000008919	ENSPTRT00000016450	SLC13A2	VGNC Symbol
ENSPTRG00000008919	ENSPTRT00000084323	SLC13A2	VGNC Symbol
ENSPTRG00000017928	ENSPTRT00000082556	GNL1	NCBI gene
ENSPTRG00000017928	ENSPTRT00000033100	GNL1	NCBI gene
ENSPTRG00000048541	ENSPTRT00000084818		
ENSPTRG00000050672	ENSPTRT00000106783	PCDHB11	NCBI gene
ENSPTRG00000012079	ENSPTRT00000022466	MOB1A	VGNC Symbol
ENSPTRG00000012079	ENSPTRT00000077414	MOB1A	VGNC Symbol
ENSPTRG00000012079	ENSPTRT00000103236	MOB1A	VGNC Symbol
ENSPTRG00000042880	ENSPTRT00000093964		
ENSPTRG00000046285	ENSPTRT00000097900		
ENSPTRG00000015978	ENSPTRT00000029812	RELL1	VGNC Symbol
ENSPTRG00000014795	ENSPTRT00000076683	SEC22C	VGNC Symbol
ENSPTRG00000014795	ENSPTRT00000090616	SEC22C	VGNC Symbol
ENSPTRG00000014795	ENSPTRT00000104510	SEC22C	VGNC Symbol
ENSPTRG00000014795	ENSPTRT00000027658	SEC22C	VGNC Symbol
ENSPTRG00000018501	ENSPTRT00000034187	AMD1	VGNC Symbol
ENSPTRG00000018501	ENSPTRT00000086561	AMD1	VGNC Symbol
ENSPTRG00000018501	ENSPTRT00000107709	AMD1	VGNC Symbol
ENSPTRG00000011148	ENSPTRT00000097187	KLC3	VGNC Symbol
ENSPTRG00000011148	ENSPTRT00000020718	KLC3	VGNC Symbol
ENSPTRG00000046735	ENSPTRT00000082501		
